timepoint,abundance,is_anomaly,ARG
20-10-12,0.0010026132907204,anomaly,AxyY
20-10-16,0.0009657887413204,normal,AxyY
20-10-19,0.0011281828311294,normal,AxyY
20-11-02,0.0006067880579703,anomaly,AxyY
20-11-25,0.0005834052080214,normal,AxyY
20-11-30,0.0005262903970979,normal,AxyY
20-12-04,0.0006045097768431,normal,AxyY
20-12-11,0.00057699549913,normal,AxyY
20-12-18,0.0004951681035569,normal,AxyY
20-12-21,0.0005248486865101,normal,AxyY
20-12-24,0.0005557905791084,normal,AxyY
20-12-28,0.000760451855659,normal,AxyY
20-10-12,0.0015178385397739,anomaly,MexJ
20-10-16,3.66019936022169e-05,anomaly,MexJ
20-10-19,0.0001895608119556,normal,MexJ
20-11-02,8.413312680765781e-05,normal,MexJ
20-11-25,0.0001467491938222,normal,MexJ
20-11-30,2.719860451405666e-05,normal,MexJ
20-12-04,0.0002197765891164,normal,MexJ
20-12-11,2.9286553381697047e-05,normal,MexJ
20-12-18,2.513324128108203e-05,normal,MexJ
20-12-21,8.137229141645066e-05,normal,MexJ
20-12-24,0.0001067415073713,normal,MexJ
20-12-28,5.725832428875725e-05,normal,MexJ
20-10-12,0.0167378275797099,anomaly,MexK
20-10-16,0.0050018443654772,anomaly,MexK
20-10-19,0.0066460833603016,normal,MexK
20-11-02,0.0064803827927442,normal,MexK
20-11-25,0.0052161471731621,normal,MexK
20-11-30,0.0058044897118887,normal,MexK
20-12-04,0.0081981380298876,normal,MexK
20-12-11,0.0058299080532922,normal,MexK
20-12-18,0.0066077398012906,normal,MexK
20-12-21,0.006138822951667,normal,MexK
20-12-24,0.0087520545412423,normal,MexK
20-12-28,0.0066129458040161,normal,MexK
20-10-12,0.0039603122655095,anomaly,MexL
20-10-16,0.00025294898865,anomaly,MexL
20-10-19,0.0007368842830952,normal,MexL
20-11-02,0.0006541054365891,normal,MexL
20-11-25,0.0006338462831758,normal,MexL
20-11-30,9.39820324992756e-05,normal,MexL
20-12-04,0.0006213402160936,normal,MexL
20-12-11,0.00025299182264,normal,MexL
20-12-18,0.0003039588241317,normal,MexL
20-12-21,0.0003748983191393,normal,MexL
20-12-24,0.0006639021078196,normal,MexL
20-12-28,0.0005193571949571,normal,MexL
20-10-12,0.0015318641269131,anomaly,Mrx
20-10-16,0.0011414859021708,normal,Mrx
20-10-19,0.0007319281068571,normal,Mrx
20-11-02,0.0007496607909253,normal,Mrx
20-11-25,0.0006014940322089,normal,Mrx
20-11-30,0.0015995150276934,anomaly,Mrx
20-12-04,0.0007655172234599,anomaly,Mrx
20-12-11,0.0005219104912573,normal,Mrx
20-12-18,0.0007614215857358,normal,Mrx
20-12-21,0.0007008919241294,normal,Mrx
20-12-24,0.0005135998146449,normal,Mrx
20-12-28,0.0002933622619733,normal,Mrx
20-10-12,0.0097232340456265,anomaly,MuxB
20-10-16,0.0013546944758521,anomaly,MuxB
20-10-19,0.0020435284977239,normal,MuxB
20-11-02,0.0023873177668103,normal,MuxB
20-11-25,0.0015570033238794,normal,MuxB
20-11-30,0.00299122124127,normal,MuxB
20-12-04,0.0028452303254197,normal,MuxB
20-12-11,0.0021162620566237,normal,MuxB
20-12-18,0.0034639576833834,normal,MuxB
20-12-21,0.0031933688003125,normal,MuxB
20-12-24,0.0031454800057266,normal,MuxB
20-12-28,0.0020384840969008,normal,MuxB
20-10-12,0.0051005444737267,anomaly,MuxC
20-10-16,0.0002857567407941,anomaly,MuxC
20-10-19,0.0005830015585959,normal,MuxC
20-11-02,0.0003209553034243,normal,MuxC
20-11-25,0.0005676377688136,normal,MuxC
20-11-30,0.0010617160180607,normal,MuxC
20-12-04,0.0010138970128573,normal,MuxC
20-12-11,0.0007171110544532,normal,MuxC
20-12-18,0.0012575830507162,normal,MuxC
20-12-21,0.0013860753670011,normal,MuxC
20-12-24,0.0013106251350608,normal,MuxC
20-12-28,0.0007924507909279,normal,MuxC
20-10-12,0.0001965392620115,anomaly,NPS-1
20-10-16,0.0001032148172077,normal,NPS-1
20-10-19,4.454558033185712e-05,normal,NPS-1
20-11-02,2.965612132683724e-05,normal,NPS-1
20-11-25,2.069107407148769e-05,normal,NPS-1
20-11-30,0.0002684429319088,anomaly,NPS-1
20-12-04,0.0001971941809696,normal,NPS-1
20-12-11,0.0002064645908901,normal,NPS-1
20-12-18,0.0002126214434813,normal,NPS-1
20-12-21,0.0002294636263697,normal,NPS-1
20-12-24,0.0002408022970891,normal,NPS-1
20-12-28,0.000100915054302,normal,NPS-1
20-10-12,0.0061480573700463,anomaly,OpmH
20-10-16,0.0004461957315317,anomaly,OpmH
20-10-19,0.0003490326061406,normal,OpmH
20-11-02,0.0001121775024102,normal,OpmH
20-11-25,0.0001229898005367,normal,OpmH
20-11-30,0.0001243364777785,normal,OpmH
20-12-04,0.0004262333849531,anomaly,OpmH
20-12-11,0.0001338813868877,normal,OpmH
20-12-18,3.829827242831547e-05,normal,OpmH
20-12-21,4.133195754486383e-05,normal,OpmH
20-12-24,6.506149020730864e-05,normal,OpmH
20-12-28,1.0906347483572808e-05,normal,OpmH
20-10-12,0.0006339164976494,anomaly,TriC
20-10-16,0.0002253760550939,normal,TriC
20-10-19,0.0005321136178125,normal,TriC
20-11-02,0.0001523670800453,normal,TriC
20-11-25,0.000122252478003,normal,TriC
20-11-30,8.866316747101935e-05,normal,TriC
20-12-04,0.0006223594749782,anomaly,TriC
20-12-11,0.0001060772799652,anomaly,TriC
20-12-18,7.282702985384399e-05,normal,TriC
20-12-21,3.929790451608116e-05,normal,TriC
20-12-24,7.732455652098936e-05,normal,TriC
20-12-28,5.184808892289042e-05,normal,TriC
20-10-12,0.0001768136061527,anomaly,YojI
20-10-16,2.4579440959152957e-05,normal,YojI
20-10-19,5.3040129865943005e-05,normal,YojI
20-11-02,8.474723722231225e-05,normal,YojI
20-11-25,0.0001379656654328,normal,YojI
20-11-30,0.0002557065884241,normal,YojI
20-12-04,0.0001207531624342,normal,YojI
20-12-11,3.93337651257829e-05,normal,YojI
20-12-18,3.3755594129336445e-05,normal,YojI
20-12-21,7.28588886648512e-05,normal,YojI
20-12-24,4.300825698466707e-05,normal,YojI
20-12-28,2.883813413083394e-05,normal,YojI
20-10-12,0.008638608085810462,anomaly,acrBacrBacrBacrBacrBacrBacrBacrBacrBacrBacrBacrBacrBacrBacrBacrBacrBacrBacrBacrBacrBacrBacrBacrBacrBacrBacrBacrBacrBacrBacrBacrB
